StName,Az(deg),EpDis(deg),NumMatPha,Loc(km),SubDivDep(km), Rms(s),MinRms(s)
KAN13,332.04931640625,1.21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7.60,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[1.0283339296921572, 1.0293550881418383, 1.0304211854747671, 1.0315332080881245, 1.0327143628380282, 1.0339139067632257, 1.0351572029118021, 1.036443917006908, 1.0377739807753967, 1.03914620400223, 1.0405609592539748, 1.042017857855795, 1.043516189780205, 1.0450557363183448, 1.0466374822963977, 1.0482585921596435, 1.0014531247570968, 1.0032723176727203, 1.0051446850567884, 1.007069112992247]",1.00
OK025,231.8879852294922,0.59,"[12.0, 15.0, 10.0, 0.0, 0.0, 12.0, 12.0, 11.0, 0.0, 9.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.90,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.2714677509116367, 0.2549605084608404, 0.2390991777714783, 0.22394457719384356, 0.20949575088993808, 0.1957912077906173, 0.18287746684793682, 0.1707973933394937, 0.1595132893926091, 0.15226078334973378, 0.1606345651838548, 0.17005884816938424, 0.1805965305926874, 0.19230861099629762, 0.2052280216091801, 0.21934516543738092, 0.251072536166522, 0.27141889387527535, 0.2923373248872682, 0.3137393927255132]",0.15
OK026,226.5064239501953,0.77,"[4.0, 5.0, 6.0, 6.0, 5.0, 4.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 4.0, 4.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.00,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.4411920520399679, 0.4444936121145672, 0.44779767042556945, 0.4511044280503829, 0.45441009685688627, 0.45772280028353646, 0.461036471895967, 0.46434702573593967, 0.467654539146744, 0.47096250783120475, 0.4742663928813802, 0.4775665461212106, 0.48086221013522606, 0.4841665601610128, 0.4874592873262061, 0.4907480891520907, 1.0, 1.0, 1.0, 1.0]",0.44
OK027,240.89694213867188,0.48,"[14.0, 10.0, 12.0, 11.0, 10.0, 12.0, 14.0, 11.0, 10.0, 9.0, 7.0, 6.0, 8.0, 8.0, 8.0, 6.0, 3.0, 0.0, 0.0, 4.0, 5.0, 7.0, 5.0, 0.0, 0.0, 0.0, 0.0, 4.0, 3.0, 0.0]",6.60,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.2474536905490302, 0.23427617650606605, 0.22317828192871655, 0.21440570999911293, 0.20811309939075365, 0.20432208359670703, 0.20297243574289822, 0.2039807248961141, 0.20722335380769963, 0.21264004793353822, 0.22011327111062495, 0.2295185253374212, 0.24070588647626381, 0.25350506073577933, 0.26773445246059346, 0.2832125848489429, 0.2956203291900408, 0.31394926172770615, 0.3332252175181977, 0.3532945478848916]",0.20
OK028,211.71365356445312,0.45,"[9.0, 0.0, 9.0, 8.0, 7.0, 8.0, 8.0, 8.0, 9.0, 6.0, 0.0, 0.0, 0.0, 0.0, 8.0, 7.0, 7.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.0, 5.0, 7.0, 8.0, 8.0, 7.0, 5.0]",7.60,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.2847030096827225, 0.2718076558843434, 0.2597949606071699, 0.24881076922810488, 0.2390373162991931, 0.2305878584929665, 0.22369268419861651, 0.21848929266726738, 0.2150991620368556, 0.21358924126308362, 0.2139719220819657, 0.21619445465770362, 0.2201600350073719, 0.22570728988787034, 0.23276511594682422, 0.24112234446370087, 0.15639025718879945, 0.16520333825685243, 0.17451178655669705, 0.19440110450531947]",0.16
OK029,255.1842498779297,0.58,"[11.0, 13.0, 16.0, 13.0, 12.0, 0.0, 13.0, 10.0, 0.0, 6.0, 9.0, 8.0, 7.0, 6.0, 6.0, 6.0, 0.0, 5.0, 7.0, 0.0, 0.0, 4.0, 0.0, 0.0, 5.0, 8.0, 6.0, 8.0, 9.0, 10.0]",7.70,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.358085979503518, 0.3422937357900993, 0.3272343855725884, 0.31294759063715116, 0.2994911992370738, 0.2869004908011797, 0.27520129532639587, 0.2644364348252941, 0.2545515401637644, 0.24556125456839828, 0.2374498270300225, 0.23019685886154936, 0.2237782271902693, 0.21816659144428252, 0.21333433252038403, 0.20924261075716152, 0.1755918108781247, 0.17358071310175047, 0.17778494917616527, 0.19579754385214157]",0.17
T35B,12.082622528076172,0.99,"[11.0, 9.0, 9.0, 9.0, 9.0, 6.0, 6.0, 5.0, 0.0, 0.0, 6.0, 6.0, 7.0, 8.0, 8.0, 0.0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 7.0, 7.0, 6.0, 6.0, 4.0, 6.0, 6.0, 6.0]",7.60,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.2276557445003944, 0.21336432935357533, 0.19923031739814737, 0.1852707425506314, 0.1715412503387359, 0.15799549116017972, 0.15021085719885738, 0.150660693489746, 0.15145782920838202, 0.15264331671870365, 0.15427415997464672, 0.1564291852961479, 0.1591612918357467, 0.16252568711157014, 0.16656617276255462, 0.17130202930264185, 0.13279348481398046, 0.13942608555497552, 0.14605217916752386, 0.15267233979089193]",0.13
STN01,261.32275390625,0.73,"[13.0, 0.0, 14.0, 13.0, 13.0, 14.0, 14.0, 11.0, 8.0, 0.0, 0.0, 7.0, 7.0, 8.0, 7.0, 8.0, 9.0, 10.0, 10.0, 0.0, 0.0, 0.0, 7.0, 9.0, 11.0, 10.0, 8.0, 9.0, 6.0, 5.0]",6.70,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.24180064295590467, 0.23196340537734403, 0.22323217321435562, 0.21573605849984642, 0.209596112568026, 0.2049223114872234, 0.20180325290739912, 0.20030379483372932, 0.2004504578150319, 0.20223735817418276, 0.2056237080138851, 0.21054332668863304, 0.21689312352804227, 0.2245799503313216, 0.2334418200915748, 0.2433834427020737, 0.30858163653279785, 0.32477724142026015, 0.3416878163545458, 0.359214826054771]",0.20
STN02,270.6592712402344,0.60,"[11.0, 11.0, 13.0, 14.0, 12.0, 10.0, 8.0, 10.0, 8.0, 0.0, 6.0, 7.0, 6.0, 8.0, 11.0, 8.0, 8.0, 9.0, 8.0, 8.0, 9.0, 11.0, 10.0, 8.0, 0.0, 7.0, 8.0, 9.0, 8.0, 8.0]",6.90,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.19422424012668804, 0.1872423627912337, 0.18073951431394408, 0.17481181281928915, 0.1695546564968479, 0.16493577384808145, 0.1613347497712139, 0.1587974956064547, 0.15747807829928992, 0.15735666036378795, 0.1585769636159776, 0.16116361270406965, 0.16509035131571026, 0.17028318829213995, 0.176631381062088, 0.1840030223191971, 0.4122047142931855, 0.4274373396260341, 0.4428828234851468, 0.458497907737277]",0.16
STN07,279.64093017578125,0.84,"[0.0, 6.0, 6.0, 6.0, 7.0, 5.0, 6.0, 6.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 3.0, 3.0, 0.0]",6.70,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.21059842051956634, 0.2068047033836015, 0.20347921002486372, 0.20064560445601057, 0.19851766021475425, 0.19676329688922034, 0.19555934724842794, 0.1949492807212491, 0.1949520569006881, 0.19556995923241863, 0.19686136184161432, 0.19877555520594395, 0.2013062639119074, 0.2044468797164257, 0.20818329742492678, 0.2125002062575545, 0.46728598932743143, 0.47510317669498053, 0.48342081792661573, 0.49222258339558206]",0.19
