StName,Az(deg),EpDis(deg),NumMatPha,Loc(km),SubDivDep(km), Rms(s),MinRms(s)
OK027,241.931884765625,0.49,"[12.0, 15.0, 12.0, 10.0, 12.0, 9.0, 7.0, 5.0, 10.0, 9.0, 8.0, 7.0, 6.0, 0.0, 4.0, 4.0, 4.0, 0.0, 0.0, 5.0, 5.0, 6.0, 4.0, 0.0, 5.0, 5.0, 4.0, 5.0, 0.0, 5.0]",6.30,"[5.0, 5.1, 5.199999999999999, 5.299999999999999, 5.399999999999999, 5.499999999999998, 5.599999999999998, 5.6999999999999975, 5.799999999999997, 5.899999999999997, 5.9999999999999964, 6.099999999999996, 6.199999999999996, 6.299999999999995, 6.399999999999995, 6.499999999999995, 6.599999999999994, 6.699999999999994, 6.799999999999994, 6.899999999999993]","[0.3159074818840935, 0.29895894885726815, 0.28289938502883616, 0.2678018798837065, 0.25376099841071753, 0.24084561821504205, 0.22913152258710648, 0.21867084862973304, 0.20956882449074085, 0.20192686333301188, 0.1959235791115107, 0.1916211756685217, 0.18926381792531122, 0.18910628500514984, 0.19155468577779552, 0.19714749235077708, 0.20629313791281467, 0.21884667319488602, 0.23412393015877606, 0.25131994914733263]",0.19
OK028,213.19393920898438,0.45,"[12.0, 8.0, 12.0, 9.0, 8.0, 11.0, 10.0, 8.0, 12.0, 10.0, 7.0, 0.0, 0.0, 5.0, 6.0, 7.0, 9.0, 7.0, 8.0, 0.0, 0.0, 0.0, 0.0, 5.0, 7.0, 7.0, 8.0, 6.0, 0.0, 0.0]",7.10,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.25231390123690134, 0.2321003290314013, 0.2128232740252024, 0.19480381496641183, 0.17832509938469313, 0.16363475148030504, 0.15065293166146684, 0.13914221834881793, 0.12885121012400638, 0.11956318645334964, 0.11114953901137226, 0.1069698774313691, 0.11899605214334974, 0.1320216228877993, 0.14616314633101382, 0.1615617000436975, 0.17465494977075144, 0.190006704734899, 0.20769863048648882, 0.2278948962855402]",0.11
T35B,11.39734935760498,0.99,"[6.0, 0.0, 0.0, 0.0, 0.0, 6.0, 7.0, 0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7.50,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.23712166690106531, 0.23272101866074388, 0.22853693657449567, 0.2245576700759544, 0.22078115958483466, 0.21720893062241964, 0.21385195928429213, 0.21070470364581306, 0.2077639301681502, 0.20505967092419994, 0.20259545537856669, 0.20036334508459777, 0.1983709417477121, 0.19661859176644067, 0.19510495259286878, 0.19382674624462806, 0.24081969364867328, 0.2544481052982878, 0.2701898638415195, 0.2862801811056714]",0.19
STN01,261.7393798828125,0.74,"[13.0, 0.0, 15.0, 16.0, 18.0, 16.0, 15.0, 12.0, 10.0, 8.0, 9.0, 8.0, 8.0, 9.0, 8.0, 7.0, 6.0, 8.0, 9.0, 9.0, 7.0, 11.0, 9.0, 9.0, 0.0, 7.0, 10.0, 11.0, 11.0, 9.0]",6.10,"[5.0, 5.1, 5.199999999999999, 5.299999999999999, 5.399999999999999, 5.499999999999998, 5.599999999999998, 5.6999999999999975, 5.799999999999997, 5.899999999999997, 5.9999999999999964, 6.099999999999996, 6.199999999999996, 6.299999999999995, 6.399999999999995, 6.499999999999995, 6.599999999999994, 6.699999999999994, 6.799999999999994, 6.899999999999993]","[0.2874151935197653, 0.27411868681461865, 0.26157104900770545, 0.24986794280270996, 0.23911062208786626, 0.22940301598805501, 0.22085111739072225, 0.2135427648535352, 0.20758120676838385, 0.20304222196628544, 0.20000653901399337, 0.1985569507545233, 0.19878625946859244, 0.2007687069390952, 0.2046209833562219, 0.21034902140496525, 0.21791487921036223, 0.22718024890513364, 0.23793234605373356, 0.24994402687483808]",0.20
STN02,270.99029541015625,0.61,"[11.0, 0.0, 12.0, 9.0, 8.0, 9.0, 9.0, 9.0, 0.0, 6.0, 7.0, 8.0, 6.0, 8.0, 8.0, 8.0, 8.0, 5.0, 7.0, 7.0, 6.0, 7.0, 7.0, 6.0, 7.0, 7.0, 8.0, 11.0, 9.0, 9.0]",6.60,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.12889422442388032, 0.11449733851390013, 0.10172699289864935, 0.09187642576467715, 0.08590694261238489, 0.08323705889303878, 0.08313401062635345, 0.08545446486789833, 0.09032658822032746, 0.09787293272108548, 0.10786939099541827, 0.11986866594975344, 0.13334101925791988, 0.14786079152302165, 0.16312553755478862, 0.17892945020540915, 0.23366649441296208, 0.25728557525929047, 0.2809931997134843, 0.3047665729164121]",0.08
STN08,291.8627014160156,0.64,"[13.0, 9.0, 11.0, 0.0, 11.0, 11.0, 10.0, 8.0, 6.0, 5.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.0, 0.0, 0.0, 0.0, 4.0, 7.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 0.0, 0.0]",6.40,"[5.0, 5.1, 5.199999999999999, 5.299999999999999, 5.399999999999999, 5.499999999999998, 5.599999999999998, 5.6999999999999975, 5.799999999999997, 5.899999999999997, 5.9999999999999964, 6.099999999999996, 6.199999999999996, 6.299999999999995, 6.399999999999995, 6.499999999999995, 6.599999999999994, 6.699999999999994, 6.799999999999994, 6.899999999999993]","[0.29175779986491684, 0.2768753253441141, 0.26290374536433914, 0.2499446319892041, 0.23809652154176128, 0.2274420803808519, 0.21804827950246577, 0.20995120328313552, 0.20317620092989294, 0.19768603599362775, 0.19343804355579694, 0.19035622883378175, 0.1883661529582024, 0.18737971865306638, 0.18735711707491223, 0.18840537696116946, 0.191284083778638, 0.1992438281945003, 0.21399876556549188, 0.23139510009193262]",0.19
STN09,299.5140380859375,0.47,"[0.0, 15.0, 15.0, 13.0, 14.0, 13.0, 13.0, 10.0, 12.0, 9.0, 9.0, 9.0, 9.0, 10.0, 11.0, 10.0, 9.0, 9.0, 9.0, 10.0, 9.0, 6.0, 7.0, 9.0, 10.0, 9.0, 8.0, 10.0, 10.0, 10.0]",6.30,"[5.0, 5.1, 5.199999999999999, 5.299999999999999, 5.399999999999999, 5.499999999999998, 5.599999999999998, 5.6999999999999975, 5.799999999999997, 5.899999999999997, 5.9999999999999964, 6.099999999999996, 6.199999999999996, 6.299999999999995, 6.399999999999995, 6.499999999999995, 6.599999999999994, 6.699999999999994, 6.799999999999994, 6.899999999999993]","[0.3383703656452625, 0.32033975740662224, 0.302864369149394, 0.28602264678892225, 0.2699111219442838, 0.2546454214795566, 0.24035308232900995, 0.2271705778243794, 0.2152779813916906, 0.2048785004268151, 0.19624167286886127, 0.1895967711911695, 0.18526092280637782, 0.18351835877221698, 0.18456849888377244, 0.1884646496772379, 0.19507924444787225, 0.20415302192203144, 0.21534502304908335, 0.2283054718003775]",0.18
STN15,309.2562255859375,0.64,"[8.0, 8.0, 10.0, 0.0, 5.0, 5.0, 6.0, 5.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 4.0]",5.90,"[5.0, 5.1, 5.199999999999999, 5.299999999999999, 5.399999999999999, 5.499999999999998, 5.599999999999998, 5.6999999999999975, 5.799999999999997, 5.899999999999997, 5.9999999999999964, 6.099999999999996, 6.199999999999996, 6.299999999999995, 6.399999999999995, 6.499999999999995, 6.599999999999994, 6.699999999999994, 6.799999999999994, 6.899999999999993]","[0.22766078435931156, 0.22087107410623638, 0.21421833538726628, 0.20766288117646262, 0.2011989342616951, 0.19482702759659065, 0.18854831764480293, 0.18234667406038327, 0.17624724973669736, 0.1703950772295928, 0.18027859645686065, 0.19023570626634534, 0.20026926899851086, 0.2103905161766967, 0.22059027760287844, 0.23086400354905665, 0.2412473142560694, 0.25167833874420903, 0.2621734274535699, 0.2727523178475711]",0.17
STN19,308.95318603515625,1.18,"[7.0, 0.0, 10.0, 11.0, 9.0, 11.0, 10.0, 6.0, 6.0, 0.0, 0.0, 0.0, 7.0, 7.0, 8.0, 8.0, 7.0, 0.0, 0.0, 0.0, 0.0, 9.0, 5.0, 5.0, 6.0, 7.0, 0.0, 0.0, 0.0, 0.0]",6.10,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.7171614923106816, 0.7141713741434148, 0.7182703207835469, 0.7264029753656885, 0.7356039908471192, 0.7452450844894595, 0.7551746652735725, 0.7653360699540303, 0.7757036309645612, 0.7862647615438066, 0.7970074125511039, 0.8079420159730293, 0.8190393665402388, 0.8303059806564841, 0.8417394817750775, 0.8533393014896218, 0.7854857293311109, 0.7983252592829685, 0.811246819825747, 0.8244102166235406]",0.71
STN20,306.207763671875,0.99,"[0.0, 13.0, 9.0, 9.0, 10.0, 11.0, 10.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 7.0, 9.0]",7.00,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.16725535089067864, 0.161753936498881, 0.15677619655592337, 0.15225725260896128, 0.1484525688744285, 0.14525251179408097, 0.1426215054508296, 0.1406088204382363, 0.13925724834371941, 0.13858038380492552, 0.13856009149196483, 0.13919718772249054, 0.14047680468867918, 0.14237583063500897, 0.1448636686758865, 0.14829898307585532, 0.5246931715202364, 0.5318800851788729, 0.5396160021559401, 0.5478409182103755]",0.14
