StName,Az(deg),EpDis(deg),NumMatPha,Loc(km),SubDivDep(km), Rms(s),MinRms(s)
SND,120.7619857788086,1.13,"[0.0, 11.0, 9.0, 8.0, 7.0, 7.0, 7.0, 6.0, 8.0, 8.0, 9.0, 8.0, 8.0, 8.0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.50,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[1.0026033913906833, 0.9944623043268463, 0.9867319824001021, 0.9793968095811879, 0.9724398957181742, 0.9658447303627969, 0.9595910082719072, 0.95367243434755, 0.9480695023571024, 0.9427673996944191, 0.9377542397076456, 0.18946539831424955, 0.18219759582504938, 0.17650431243191914, 0.17217401427090626, 0.16900043068796297, 0.40363402124189235, 0.40480195077186215, 0.41797032316545685, 0.431354093340558]",0.17
BLC,278.4239501953125,0.75,"[0.0, 0.0, 0.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.00,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.33308887395108644, 0.30054814560190435, 0.2681086159519223, 0.23580297560933428, 0.20367831357355334, 0.17180374656833972, 0.14028443889876274, 0.1092815753776221, 0.07904182498921956, 0.07134405109408011, 0.07085024594478144, 0.07237666739054538, 0.09311642360170314, 0.12101422266740462, 0.1504024707226021, 0.1808337204497292, 0.20065109006994805, 0.22082191254690484, 0.24126737584835953, 0.2619269947916014]",0.07
BTP,309.7138671875,0.86,"[9.0, 11.0, 13.0, 14.0, 14.0, 10.0, 10.0, 11.0, 12.0, 10.0, 7.0, 7.0, 7.0, 7.0, 6.0, 0.0, 4.0, 4.0, 4.0, 5.0, 6.0, 6.0, 6.0, 5.0, 0.0, 0.0, 5.0, 5.0, 5.0, 4.0]",5.50,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.9117685042505729, 0.9033743523403274, 0.8956493713191255, 0.8885729871180311, 0.8822011587452785, 0.8765440722721852, 0.8716125628685449, 0.8674499458461379, 0.8640668112348929, 0.8614833107592075, 0.8597184833519957, 0.4620018533249081, 0.45203802983670993, 0.4439729989369538, 0.43781597322050186, 0.43354577883089046, 0.4743037660808144, 0.47637028905530254, 0.47889801925298786, 0.4818764401538451]",0.43
CIA,216.23895263671875,0.91,"[0.0, 4.0, 5.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.90,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.9194358416608847, 0.9146892648647257, 0.9101210514350554, 0.9057495246846089, 0.9015540056421155, 0.8974952269267152, 0.8936245426268304, 0.8899074228798552, 0.8863435906121225, 0.8829110586298029, 0.8796122566118276, 0.2775671501230795, 0.27662783154090836, 0.2757923648306612, 0.2750379599639586, 0.2743474155876013, 0.27151867428549964, 0.26871323057608915, 0.26596993423954657, 0.26328124495180155]",0.26
CSH,116.2594223022461,1.10,"[9.0, 9.0, 8.0, 7.0, 7.0, 6.0, 7.0, 7.0, 6.0, 7.0, 8.0, 9.0, 8.0, 8.0, 8.0, 7.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.90,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[1.2954329518431178, 1.2930419652491862, 1.2907735592339478, 1.2886281199084386, 1.2866104575484612, 1.2847131316201095, 1.2829411609451193, 1.281292097641793, 1.2797666080617016, 1.2783580917327528, 1.2770827976784538, 0.5158557072661715, 0.5107177578667768, 0.5066265868969556, 0.5034642825180977, 0.5010921220403669, 0.499965785212787, 0.498986290931475, 0.4981335517285748, 0.49739157585295546]",0.50
EDW2,346.36785888671875,0.76,"[6.0, 9.0, 11.0, 11.0, 8.0, 6.0, 4.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 7.0, 7.0, 6.0, 0.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 3.0, 0.0, 3.0, 3.0]",5.10,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.4592495316317926, 0.46292415891085975, 0.46775537280939733, 0.4736716031465784, 0.4805871678605929, 0.4884145199436927, 0.4970681304763119, 0.5064677253137563, 0.5166847101185458, 0.527361108847658, 0.538595160615961, 0.2515343288432152, 0.26233468724390474, 0.27381734249863227, 0.2859533938893401, 0.2987341139991568, 0.30622733097755667, 0.31389029992017764, 0.3217257213730673, 0.32973833983113104]",0.25
ELS2,149.0800018310547,0.57,"[0.0, 7.0, 0.0, 0.0, 6.0, 5.0, 4.0, 5.0, 0.0, 0.0, 0.0, 0.0, 6.0, 8.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 4.0, 6.0]",5.50,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.3094470458218916, 0.2919841368159054, 0.27512731760251713, 0.2589950948946019, 0.24370343834721905, 0.2293483400358717, 0.2159732093127982, 0.20363225435139676, 0.19224517646065323, 0.18175362321864955, 0.17209847357853847, 0.16062466129853112, 0.15535963806272596, 0.1505811614403372, 0.14643746580222636, 0.1431048890596313, 1.0690124423622047, 1.0690124423622047, 1.0832655744098245, 1.0689891356022054]",0.14
IDO,104.2694091796875,1.33,"[0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 5.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.60,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[1.026690320986094, 1.0080397196074526, 0.9896284514265049, 0.97144302755716, 0.9556962748375032, 0.961919339724678, 0.9683880903448818, 0.9751096031017249, 0.9820912842131634, 0.9893408739496735, 0.9968664465636273, 0.5352894314249416, 0.5312529647805652, 0.5275054905364569, 0.5241883654527524, 0.521573165968891, 0.4802007562166725, 0.4811886837898814, 0.4827912104015511, 0.4850781644425024]",0.48
IPT,81.38465881347656,0.41,"[7.0, 6.0, 9.0, 10.0, 10.0, 7.0, 7.0, 7.0, 8.0, 7.0, 8.0, 8.0, 9.0, 9.0, 10.0, 9.0, 9.0, 6.0, 7.0, 8.0, 9.0, 9.0, 8.0, 8.0, 0.0, 5.0, 5.0, 7.0, 7.0, 6.0]",5.00,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.21698369624194283, 0.2036067622357416, 0.19085237634240593, 0.17885722676181684, 0.16779413192846684, 0.15791465030899546, 0.14937335302358448, 0.14257421675845852, 0.1377429247534602, 0.13502987735437819, 0.13444385890768498, 0.4496559392201355, 0.45844328773701265, 0.4689618127573905, 0.48112010955213225, 0.4946952882194858, 0.7987406536347564, 0.7911495338752236, 0.7987406536347564, 0.8066756450385085]",0.13
LAF,240.1806182861328,0.53,"[0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.30,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.14830556239079584, 0.14667391393488907, 0.14533342831224516, 0.14400678222800897, 0.1543324904062331, 0.16883386671156586, 0.18334559855042323, 0.19784558499203206, 0.2123364871579021, 0.22681860741104268, 0.24129217106602852, 0.5014485216689835, 0.5181039364192929, 0.53475208498632, 0.5513932645662548, 0.5680277742923909, 1.128550387415343, 1.128148651369692, 1.128539313773894, 1.1289075649579772]",0.14
